Date,Close,Return,avg_tone,news_count,risk_signal,risk_signal_lag1
2021-01-06,3748.139892578125,0.5693603382474094,-1.287422800007945,167.0,1.287422800007945,1.8203762589740902
2021-01-07,3803.7900390625,1.4738260107752972,-2.0211776936549746,135.0,2.0211776936549746,1.287422800007945
2021-01-08,3824.679931640625,0.5476837393515369,-2.3277037827741194,183.0,2.3277037827741194,2.0211776936549746
2021-01-11,3799.610107421875,-0.6576327616621317,-1.6546382558671762,129.0,1.6546382558671762,2.3277037827741194
2021-01-12,3801.18994140625,0.041570203056956405,-1.7106164157574442,154.0,1.7106164157574442,1.6546382558671762
2021-01-13,3809.840087890625,0.22730563867261075,-2.0177775339645025,179.0,2.0177775339645025,1.7106164157574442
2021-01-14,3795.5400390625,-0.3760513068743101,-1.5556375383212724,170.0,1.5556375383212724,2.0177775339645025
2021-01-15,3768.25,-0.7216000798278505,-2.160444165900303,159.0,2.160444165900303,1.5556375383212724
2021-01-19,3798.909912109375,0.8103457635761656,-1.0694985767640204,135.0,1.0694985767640204,2.160444165900303
2021-01-20,3851.85009765625,1.3839417376510863,-0.6026861976955176,154.0,0.6026861976955176,1.0694985767640204
2021-01-21,3853.070068359375,0.03166731613135491,-1.4171496832336903,153.0,1.4171496832336903,0.6026861976955176
2021-01-22,3841.469970703125,-0.30151526629377107,-1.5018110938874247,163.0,1.5018110938874247,1.4171496832336903
2021-01-25,3855.360107421875,0.36093175130174654,-1.3211596302380444,118.0,1.3211596302380444,1.5018110938874247
2021-01-26,3849.6201171875,-0.1489943161153501,-1.67590010276589,168.0,1.67590010276589,1.3211596302380444
2021-01-27,3750.77001953125,-2.601331512610035,-1.0581635199832706,168.0,1.0581635199832706,1.67590010276589
2021-01-28,3787.3798828125,0.9713298778760395,-1.2612876781348483,173.0,1.2612876781348483,1.0581635199832706
2021-01-29,3714.239990234375,-1.9500377654792,-1.0171201804065777,167.0,1.0171201804065777,1.2612876781348483
2021-02-01,3773.860107421875,1.5924300234678626,-1.5313032776129114,129.0,1.5313032776129114,1.0171201804065777
2021-02-02,3826.31005859375,1.3802528814310624,-1.177402885978244,156.0,1.177402885978244,1.5313032776129114
2021-02-03,3830.169921875,0.10082606153447803,-1.23586114926385,167.0,1.23586114926385,1.177402885978244
2021-02-04,3871.739990234375,1.0794847643921974,-2.1450541754340993,157.0,2.1450541754340993,1.23586114926385
2021-02-05,3886.830078125,0.3889919607763825,-1.5092152679359332,162.0,1.5092152679359332,2.1450541754340993
2021-02-08,3915.590087890625,0.7372107476289037,-1.4574471104680455,117.0,1.4574471104680455,1.5092152679359332
2021-02-09,3911.22998046875,-0.11141454217211749,-1.718006201853186,160.0,1.718006201853186,1.4574471104680455
2021-02-10,3909.8798828125,-0.03452445223915674,-1.4703709841266097,163.0,1.4703709841266097,1.718006201853186
2021-02-11,3916.3798828125,0.16610748145877074,-1.5584922910373928,158.0,1.5584922910373928,1.4703709841266097
2021-02-12,3934.830078125,0.46999709261626077,-1.7142578361339373,142.0,1.7142578361339373,1.5584922910373928
2021-02-16,3932.590087890625,-0.056943451541546654,-1.523549838331427,125.0,1.523549838331427,1.7142578361339373
